COUNTRY,GENDER,AGE,MARITAL,EMPLOYMENT,INCOME,RELG_NOW,SPIRIT_NOW,AFFILIATION,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
Brazil,2,35,3,1,8,5,7,Christian,1.166666667,1.666666667,4.4,56.0,37.0,21,27.0,-4,12.0,28.0,-20.0
Brazil,1,20,1,7,6,6,5,Christian,2.666666667,3.0,7.4,56.0,48.0,20,25.0,14,0.0,23.0,-18.0
Turkey,2,38,3,1,8,7,8,Christian,3.833333333,2.333333333,7.4,52.0,42.0,19,32.0,17,12.0,27.0,-13.0
Brazil,1,24,1,1,6,5,4,Christian,4.0,-2.833333333,4.333333333,50.0,54.0,19,11.0,0,-11.0,28.0,-16.0
Turkey,1,35,3,1,6,4,6,Christian,3.166666667,0.75,2.266666667,50.0,30.0,7,9.0,18,5.0,27.0,-10.0
Brazil,2,43,3,2,4,7,6,Christian,2.0,0.333333333,4.0,55.0,55.0,15,31.0,11,2.0,19.0,-19.0
Brazil,2,42,3,1,8,8,8,Christian,4.0,-2.833333333,0.333333333,56.0,39.0,6,32.0,8,9.0,28.0,-28.0
Brazil,2,24,1,1,1,6,5,Christian,3.5,0.666666667,3.933333333,53.0,45.0,13,20.0,9,5.0,23.0,4.0
Brazil,1,42,3,1,8,6,8,Christian,2.666666667,-4.0,3.933333333,53.0,41.0,14,26.0,0,10.0,28.0,-28.0
Brazil,2,18,1,7,7,3,6,Christian,2.333333333,3.0,6.466666667,58.0,54.0,17,28.0,7,9.0,19.0,19.0
Brazil,1,56,5,1,6,7,6,Christian,3.5,0.0,4.733333333,43.0,66.0,22,34.0,13,3.0,28.0,-28.0
Brazil,1,48,5,7,4,8,8,Christian,4.0,-4.0,0.0,52.0,21.0,16,38.0,14,7.0,28.0,-28.0
Brazil,1,33,3,2,5,6,6,Christian,4.0,1.916666667,5.0,50.0,48.0,15,13.0,4,5.0,24.0,-18.0
Brazil,2,64,3,1,2,3,2,Christian,1.166666667,-3.0,0.466666667,54.0,34.0,9,23.0,0,8.0,7.0,-2.0
Brazil,2,44,3,"2,7",4,3,4,Christian,1.833333333,-1.083333333,4.866666667,51.0,58.0,16,11.0,-11,-12.0,9.0,11.0
Brazil,2,20,2,1,6,6,6,Christian,4.0,1.333333333,3.066666667,57.0,42.0,16,16.0,16,9.0,28.0,-28.0
Brazil,1,47,3,7,5,4,4,Christian,3.333333333,-4.0,0.533333333,56.0,26.0,12,8.0,-24,5.0,28.0,-28.0
Brazil,2,19,1,7,4,2,2,Christian,3.0,2.75,3.2,55.0,49.0,18,35.0,1,9.0,21.0,-19.0
Brazil,1,58,5,5,4,4,3,Christian,3.0,4.0,7.4,48.0,38.0,12,16.0,10,9.0,23.0,-28.0
Brazil,1,40,5,1,5,6,6,Christian,3.833333333,-2.0,2.066666667,50.0,33.0,20,22.0,22,9.0,28.0,-24.0
Brazil,1,44,2,1,8,4,6,Christian,3.5,-1.416666667,4.2,47.0,45.0,14,19.0,1,-1.0,28.0,-28.0
Brazil,2,32,2,7,3,6,6,Christian,4.0,-3.166666667,4.4,54.0,27.0,20,22.0,17,2.0,24.0,-16.0
Brazil,2,21,1,4,6,2,2,Christian,0.666666667,0.833333333,4.8,56.0,57.0,17,17.0,6,4.0,21.0,22.0
Brazil,2,55,2,1,8,6,8,Christian,4.0,-3.0,4.2,44.0,44.0,22,36.0,21,6.0,28.0,-8.0
Brazil,1,29,1,2,7,6,6,Christian,3.333333333,1.75,6.333333333,53.0,45.0,19,25.0,-5,7.0,17.0,1.0
Brazil,1,40,2,1,3,6,6,Christian,2.666666667,-2.666666667,3.533333333,55.0,35.0,16,17.0,12,6.0,28.0,-20.0
Brazil,1,20,1,4,5,2,5,Christian,4.0,0.333333333,5.4,53.0,71.0,12,12.0,11,2.0,27.0,-5.0
Brazil,1,28,1,1,7,7,7,Christian,4.0,-4.0,4.0,55.0,40.0,22,36.0,10,10.0,28.0,-28.0
