ID,COUNTRY,GOODCOMPLETE,CONSENT,GENDER,AGE,ETHNICITY,ABROAD,ABROAD_YEAR,MARITAL,MARITAL_TEXT,EMPLOYMENT,EMPLOYMENT_TEXT,INCOME,LE1,LE2,LE3,LE4,LE5,LE6,LE7,LE8,LE9,LE10,LE11,LE12,LE13,LE14,LE15,LE16,LE17,LE18,LE19,LE20,LE21,LE22,LE23,LE24,LE25,LE26,LE27,LE28,LE29,ATTENTION1,ATTENTION2,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,EX1,EX2,EX3,EX4,EX5,RELG_UP,AFF_UP,RELG_NOW,SPIRIT_NOW,AFF_NOW,AFFILIATION,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,RELBEH1,RELBEH2,RELBEH3,RELBEH4,RELBEH5,LOCUS1,LOCUS2,LOCUS3,LOCUS4,LOCUS5,LOCUS6,GOD1,GOD2,GOD3,GOD4,GOD5,GOD6,GOD7,GOD8,GOD9,GOD10,GOD11,GOD12,GOD13,GOD14,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,DAQ1,DAQ2,DAQ3,DAQ4,DAQ5,DAQ6,DAQ7,DAQ8,DAQ9,DAQ10,DAQ11,DAQ12,DAQ13,DAQ14,DAQ15,JONG1,JONG2,JONG3,JONG4,JONG5,JONG6,JONG7,JONG8,JONG9,JONG10,JONG11,JONG12,HONEST,COMMENTS,DROP1,DROP2,CHECK,SBS,EDAS,DAQ
R_8IXZOIOU9sg9IKp,Brazil,1,"1,2,3,4,5,6",2,35,calcasiano,1,2,3,NA,1,NA,8,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,"1,3,9,10,12,14,16,19",21,2,3,1,2,2,2,2,1,2,1,3,2,2,2,1,1,1,3,2,1,1,4,4,5,5,3,7,1,5,7,1,Christian,4,4,3,0,0,-4,5,5,5,6,6,-4,0,0,0,0,0,4,4,4,4,4,4,4,0,0,-4,-4,-4,-4,-4,2,2,3,2,3,4,4,6,8,6,0,0,4,0,6,8,8,4,4,4,2,2,2,0,2,2,2,2,2,0,2,2,2,Gostei do tema e da objetividade das perguntas,1,0,1,1.166666667,1.666666667,4.4
R_6mA0EVPMT52hC4t,Brazil,1,"1,2,3,4,5,6",1,20,parda,2,NA,1,NA,7,estudante,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"2,4,11",21,2,3,2,2,3,3,3,3,2,2,2,2,1,2,2,2,2,3,3,3,1,4,4,5,4,3,5,1,6,5,1,Christian,4,3,3,1,1,4,4,6,7,1,7,1,3,3,3,3,1,3,4,4,4,2,3,3,-4,-3,4,-4,-3,-4,-4,2,1,1,-2,-2,8,8,8,8,8,8,8,7,6,6,8,8,6,7,7,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,1,0,1,2.666666667,3,7.4
R_2nvnOlJ3DYbaqwt,Turkey,1,"1,2,3,4,5,6",2,38,asian,1,4,3,NA,1,NA,8,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,21,NA,2,4,2,2,2,3,2,2,2,1,2,1,3,2,1,2,1,1,2,4,1,4,4,4,4,3,7,1,7,8,1,Christian,4,4,4,3,4,4,8,6,7,5,6,3,3,3,3,3,2,4,4,4,3,4,4,4,-4,-3,0,-3,0,1,-4,3,1,3,2,3,8,8,7,7,8,8,8,7,6,7,7,8,6,8,8,1,4,3,-4,1,4,2,4,4,4,2,3,2,"the survey was a bit personal, but it is ok for me.",0,NA,0,3.833333333,2.333333333,7.4
R_6zcVuX8YLIQpsOx,Brazil,1,"1,2,3,4,5,6",1,24,Branco,2,NA,1,NA,1,NA,6,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,21,NA,3,3,2,2,3,3,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,5,4,5,3,2,6,1,5,4,1,Christian,4,4,4,4,4,4,5,4,2,0,0,0,0,-4,4,4,-4,4,4,4,4,4,4,4,-4,-1,4,-3,-4,-4,-4,-1,-3,-2,-3,-2,0,8,8,0,3,0,8,0,1,3,8,8,8,2,8,-4,-4,-2,1,-4,0,-4,-4,-3,-4,-4,-2,2,"adorei responder essa pesquisa, achei muito interessante, pois o assunto morte é um  assunto que a maioria das pessoas não gosta de falar sobre. Mas é um fato inevitável e todos temos diferentes opiniões e crenças.",0,NA,0,4,-2.833333333,4.333333333
R_6MxqcqOPDM8NrA9,Turkey,1,"1,2,3,4,5,6",1,35,turkic,2,NA,3,NA,1,NA,6,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,21,NA,2,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,7,1,4,6,1,Christian,4,3,3,3,3,3,6,2,1,0,0,3,3,3,3,3,3,4,4,4,4,3,4,4,-4,-4,1,3,2,-4,-4,1,1,1,1,1,2,6,0,0,5,0,0,5,5,0,0,7,2,2,0,1,2,0,2,0,1,0,0,0,0,0,3,2,NA,0,NA,0,3.166666667,0.75,2.266666667
R_b10oJeKL6eK2kRL,Brazil,1,"1,2,3,4,5,6",2,43,branca,2,NA,3,NA,2,NA,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,21,NA,1,3,1,3,4,2,3,3,3,3,3,3,3,2,3,3,3,3,1,3,2,5,3,3,2,2,4,1,7,6,1,Christian,4,2,2,4,4,-4,8,7,8,3,5,1,1,2,3,3,1,2,3,2,3,3,3,3,-4,0,-4,1,-4,-4,-4,1,0,-1,1,1,4,6,6,6,1,2,4,4,4,2,1,6,6,2,6,0,1,0,1,0,0,0,0,0,1,0,1,2,NA,0,NA,0,2,0.333333333,4
R_0U3zJuykc0c21vL,Brazil,1,"1,2,3,4,5,6",2,42,Branca,2,NA,3,NA,1,NA,8,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,NA,3,3,1,2,2,3,1,2,1,1,3,2,3,2,1,2,1,2,2,1,1,2,1,1,1,1,8,1,8,8,1,Christian,4,4,4,4,4,4,7,5,7,6,7,-4,4,4,4,4,-4,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,2,2,2,2,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,-4,-4,-4,-4,3,-4,3,-4,-4,-4,-4,-4,2,NA,0,NA,0,4,-2.833333333,0.333333333
R_d6w1fVOoTwqR5Q1,Brazil,1,"1,2,3,4,5,6",2,24,parda,2,NA,1,NA,1,NA,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,21,NA,2,3,3,1,2,2,2,2,3,2,2,3,2,2,2,2,2,3,1,2,2,3,3,2,3,2,6,1,6,5,1,Christian,4,4,3,2,4,4,6,4,4,3,3,-4,1,4,4,4,0,4,4,4,4,0,4,3,0,0,4,0,0,0,0,0,2,2,1,0,2,4,4,5,6,5,3,2,6,1,7,7,2,2,3,1,1,0,1,0,1,1,1,0,1,1,0,2,Gostei da pesquisas / sao temas bem pertinentes com assuntos do dia a dia que nos preocupa e ate rende horas de conversas,0,NA,0,3.5,0.666666667,3.933333333
R_eLIjZtxB0UdEtN3,Brazil,1,"1,2,3,4,5,6",1,42,Branca,2,NA,3,NA,1,NA,8,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,21,NA,3,3,2,3,2,2,3,2,1,1,3,2,2,1,2,1,1,2,3,1,1,1,3,5,3,2,6,1,6,8,1,Christian,4,0,4,0,4,4,8,2,6,5,5,-4,2,2,2,2,-4,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,2,2,2,2,2,2,5,8,8,8,5,5,5,5,0,0,8,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,NA,0,NA,0,2.666666667,-4,3.933333333
R_8Jm2sfsHP2Qv54h,Brazil,1,"1,2,3,4,5,6",2,18,Brasileira,2,NA,1,NA,7,Estudante,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,NA,3,3,2,3,3,2,3,3,3,2,3,3,2,2,3,2,2,2,3,2,3,3,4,3,4,3,3,1,3,6,1,Christian,2,1,3,2,3,3,5,6,6,5,6,-1,1,2,2,1,2,2,3,2,3,3,3,3,2,4,3,2,2,3,3,1,2,3,2,1,5,6,7,6,7,7,8,6,7,5,7,6,7,6,7,2,4,3,3,2,3,4,3,3,3,2,4,2,NA,0,NA,0,2.333333333,3,6.466666667
R_6RIi286dXLJCy7H,Brazil,1,"1,2,3,4,5,6",1,56,Branca,2,NA,5,NA,1,NA,6,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,"1,2,15,17",21,4,2,4,4,2,3,3,3,2,1,4,4,4,4,4,3,1,3,4,3,4,5,5,5,4,3,8,1,7,6,1,Christian,4,4,3,3,3,4,7,7,6,6,8,4,0,3,4,4,-2,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,2,0,0,2,-1,3,7,8,6,2,8,2,8,2,6,5,3,2,3,6,2,2,4,-2,3,0,-2,-2,1,-2,-2,-2,2,Fiquei satisfeita com esse tipo de pesquisa pois foi importante para mim nunca tinha pensado nessas perguntas a mais ainda em uma pesquisa,1,0,1,3.5,0,4.733333333
