,LE1-29,DASS1-21,EX1-5,SBS1-6,RELBEH1-5,LOCUS1-6,GOD1-14,SWLS1-5,DAQ1-15,JONG1-12
1,Have you ever been unemployed for a long time when you wanted to be working?,I find it hard to wind down.,"I worry about financial matters (e.g., paying my rent on time).","There exists an all-powerful and all-knowing spiritual being, whom we might call God.","Pray privately, outside of organised religious services.",Whether I am successful or unsuccessful depends on God.,Forgiving,In most ways my life is close to my ideal.,Do you worry about dying? ,The thought of my own death frightens me.
2,Have your parents ever divorced or separated?,I am aware of dryness of my mouth.,"I worry about my health (e.g., being diagnosed with an illness or catching a virus).","There exist spiritual beings, who might be good or evil, such as angels or demons.",Attend religious services.,What happens in my life is determined by God's purpose.,Loving,The conditions of my life are excellent.,Does it bother you that you may die before you have done everything you wanted to?,I am troubled by the fact that someday I will no longer be alive.
3,"Has your home ever been destroyed or seriously damaged because of arson, an accident, or a natural disaster?",I can’t seem to experience any positive feeling at all.,"I worry about my personal safety (e.g., being mugged or assaulted).",Every human being has a spirit or soul that is separate from the physical body.,Visit religious sites or shrines.,Whether or not I survive a serious illness or accident depends on God's plan.,Compassionate,I am satisfied with my life.,Do you worry that you may be very ill for a long time before you die?,The finality of death is frightening to me.
4,"Have you ever had your life seriously threatened, or been seriously injured, or become disabled because of an accident or natural disaster?","I experience breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).","I worry about my personal relationships (e.g., marriage).",There is some kind of life after death.,Volunteer at religious institutions.,"In order to have my plans work, they must be aligned with the will of God.",Gentle,So far I have gotten the important things I want in life.,Does it upset you to think that others may see you suffering when you die?,My mortality troubles me.
5,Have you ever witnessed someone seriously injured or killed because of an accident or natural disaster?,I find it difficult to work up the initiative to do things.,"I worry about my social status (e.g., having rumours spread about me).",There is a spiritual realm besides the physical one.,Tell others about your religious beliefs.,When good things happen to me it is because of God's will.,Kind,"If I could live my life over, I would change almost nothing.",Do you worry that dying may be very painful?,Thinking about being dead fills me with dread.
6,"Have you ever had your life seriously threatened, or been seriously injured, or become disabled because of an illness or disease?",I tend to over-react to situations.,,Supernatural events that have no scientific explanation (e.g. miracles) can and do happen.,,When bad things happen to me it is because of God's will.,Comforting,,Do you worry that the persons most close to you won’t be with you when you are dying?,It upsets me to think that someday I will no longer be in this world.
7,Has a spouse or someone in a romantic relationship with you ever cheated on you?,"I experience trembling (e.g., in the hands).",,,,,Peaceful,,Do you worry that you may be alone when you are dying?,The idea of never experiencing the world again after I die frightens me.
8,Have you ever been divorced?,I feel that I am using a lot of nervous energy.,,,,,Vengeful,,Does the thought bother you that you might lose control of your mind before death?,I am scared that death will be the end of “me”.
9,"Have you, or someone in a romantic relationship with you, ever had a miscarriage?",I am worried about situations in which I might panic and make a fool of myself.,,,,,Harsh,,Do you worry that expenses connected with your dying will be a burden for other people?,The loss of my consciousness in death scares me.
10,"Have you, or someone in a romantic relationship with you, ever had an abortion?",I feel that I have nothing to look forward to.,,,,,Fearsome,,Does it worry you that your instructions or will about your belongings may not be carried out after you die?,I am scared that death will be the end of my “self”.
